date,ind,rain,ind,maxt,ind,mint,gmin,soil
24-Apr-20,0,0,0,20.9,0,7.1, , 
25-Apr-20,0,0,0,18.4,0,6.2, , 
26-Apr-20,0,0,0,13.4,0,6.8, , 
27-Apr-20,0,0.8,0,13.3,0,2.5, , 
28-Apr-20,4,0,0,14.4,0,3.9, , 
29-Apr-20,0,2.2,0,11.1,0,7.6, , 
30-Apr-20,0,1.5,0,11.6,0,4.9, , 
01-May-20,0,2.9,0,11.3,0,4.9, , 
02-May-20,0,0,0,13.1,0,4.8, , 
03-May-20,0,0,0,15.8,0,3, , 
04-May-20,0,0,0,16,0,1.6, , 
05-May-20,0,0,0,15.7,0,7.1, , 
06-May-20,0,0.9,0,18.7,0,5.8, , 
07-May-20,0,0.6,0,18.1,0,10, , 
08-May-20,0,0,0,18.6,0,9.5, , 
09-May-20,0,0,0,18.8,0,9.7, , 
10-May-20,0,0,0,11.8,0,8.3, , 
11-May-20,0,0.5,0,11.6,0,2.5, , 
12-May-20,4,0,0,13,0,2, , 
13-May-20,0,0,0,11.4,0,4.1, , 
14-May-20,0,0.2,0,12.2,1,-0.8, , 
15-May-20,0,1.7,0,12.7,0,7.2, , 
16-May-20,0,1,0,13.9,0,6.9, , 
17-May-20,0,2.5,0,13.3,0,9.6, , 
18-May-20,0,1.8,0,15.7,0,10.6, , 
19-May-20,0,0.1,0,18.4,0,12.6, , 
20-May-20,0,0,0,20.5,0,12.3, , 
21-May-20,0,7.8,0,18.5,0,9.2, , 
22-May-20,0,2.1,0,14,0,10.2, , 
23-May-20,0,5.6,0,13.6,0,8.2, , 
24-May-20,4,0,0,17.1,0,9.1, , 
25-May-20,0,0,0,17.6,0,8.7, , 
26-May-20,0,0,0,16.6,0,7.9, , 
27-May-20,0,0,0,21.5,0,7.6, , 
28-May-20,0,0,0,26.3,0,12.1, , 
29-May-20,0,0,0,24.6,0,13.4, , 
30-May-20,0,0,0,25.2,0,13.7, , 
31-May-20,0,0,0,23.7,0,11.3, , 
01-Jun-20,0,0,0,24.7,0,10.6, , 
02-Jun-20,0,0.4,0,16.6,0,10.1, , 
03-Jun-20,0,0.4,0,15.5,0,10.6, , 
04-Jun-20,0,0.5,0,14.2,0,9.7, , 
05-Jun-20,0,3,0,12.5,0,8.4, , 
06-Jun-20,4,0,0,11.2,0,6.3, , 
07-Jun-20,0,0,0,14.6,0,9.3, , 
08-Jun-20,4,0,0,14.3,0,4.6, , 
09-Jun-20,0,3,0,12.7,0,5.3, , 
10-Jun-20,0,5.8,0,14.3,0,7.1, , 
11-Jun-20,0,0.1,0,16.8,0,7.1, , 
12-Jun-20,0,0.3,0,18.6,0,10.1, , 
13-Jun-20,0,0,0,19.4,0,11.4, , 
14-Jun-20,0,28.1,0,22.3,0,10.9, , 
15-Jun-20,0,0.7,0,19,0,12.6, , 
16-Jun-20,4,0,0,14.7,0,11.4, , 
17-Jun-20,0,0,0,15.6,0,12.2, , 
18-Jun-20,0,12.7,0,15.7,0,11.7, , 
19-Jun-20,0,0.3,0,14.2,0,11, , 
20-Jun-20,0,6.3,0,19.2,0,8.9, , 
21-Jun-20,0,2.4,0,16.6,0,11.2, , 
22-Jun-20,0,14.6,0,17.3,0,11, , 
23-Jun-20,0,15.7,0,17.3,0,12.1, , 
24-Jun-20,4,0,0,19.7,0,11.9, , 
25-Jun-20,0,4,0,20.9,0,11.1, , 
26-Jun-20,0,2.8,0,22.6,0,14.3, , 
27-Jun-20,0,32,0,15.9,0,12.9, , 
28-Jun-20,0,50.9,0,14.2,0,10.8, , 
29-Jun-20,0,6.3,0,13.4,0,11.1, , 
30-Jun-20,0,0.1,0,14.7,0,11.3, , 
01-Jul-20,0,0,0,15.6,0,11.7, , 
